Nested Sampling Global Log-Evidence           :    0.861466813983484769E+01  +/-    0.150560348813411821E+00
Nested Importance Sampling Global Log-Evidence:    0.733361986767573448E+01  +/-    0.169241327536997138E+00

Dim No.       Mean        Sigma
   1    0.403840202831700701E+01    0.122775973435048313E+01
   2    0.120692196627816783E+01    0.529391344179817813E+00
   3    0.173999709097413486E+02    0.121512521272575147E+01
   4   -0.131366050463526784E+01    0.878219549087265960E+00
   5    0.358293746020978743E+01    0.400128775169099560E+00
   6    0.282263151316587591E+01    0.115688868906238418E+00
   7    0.162152713867703717E+02    0.742386018245867363E+00
   8   -0.137139400467828687E+01    0.600579636504964376E+00
   9    0.100000000000000111E+01                         NaN
  10    0.524532399459517240E+01    0.107422702446286800E+01
  11    0.160863104051060688E+02    0.643784610933140544E+00
  12    0.100000000000000111E+01                         NaN
  13    0.640556897337567310E+01    0.316308549542591688E+00
  14    0.148438773820920673E+02    0.300785852034442802E+00
  15    0.000000000000000000E+00    0.000000000000000000E+00
  16    0.116024497878048982E+01    0.111398880506641262E+01
  17   -0.124243302301402192E+01    0.702447269704586930E+00
  18    0.116115127762797155E+01    0.118900667289708428E+01
  19    0.121874968891354452E+01    0.131110020996531151E+01
  20    0.744506919458295946E+00    0.812006210579165333E+00
  21    0.297273146814433342E+00    0.357296240947336530E+00
  22    0.910027355410208127E-01    0.140452254280268363E+00
  23    0.296344246595747103E-01    0.594810199163328598E-01
  24    0.110449578997752033E-01    0.270750564540044522E-01
  25    0.462812538147860334E-02    0.132355095381845259E-01
  26    0.201225752151309696E-02    0.633643335937044729E-02
  27    0.902997705540076775E-03    0.303233119536985059E-02
  28    0.428693267143727289E-03    0.154657636626283736E-02
  29    0.210428689133412009E-03    0.809983380817618664E-03
  30    0.106049081168144621E-03    0.430837006077176463E-03
  31    0.211564354604470134E+08    0.323751897833799622E+12
  32    0.129617302493407265E+39    0.521632599392482686E+41
  33    0.163389201948606097E+48    0.486087767985232134E+52
  34    0.396005349668640728E+49    0.140425975141600504E+56
  35    0.869207477944349009E+34    0.258591410354391616E+39
  36    0.314510072750580171E+22    0.666383472981512419E+31
  37    0.752129679626015574E+07    0.101480177430757688E+16
  38    0.295540754470697387E+00    0.193284661981806383E+00
  39    0.178258047979270751E+00    0.484396518720612876E+05
  40    0.105591953954882495E+00    0.404944284840821830E-01
  41    0.631053750238534522E-01    0.122458632069797687E+03
  42    0.381361457798645859E-01    0.310050867617358726E-02
  43    0.232364743002087121E-01    0.256225597316294329E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.272687876477286384E+01
   2    0.264297521137174973E+01
   3    0.154552494358813952E+02
   4   -0.135616365751097590E+00
   5    0.341940088368465567E+01
   6    0.287668851180775498E+01
   7    0.169746324288324750E+02
   8   -0.213054959942232047E+01
   9    0.100000000000000000E+01
  10    0.536985397614461313E+01
  11    0.153196330701302976E+02
  12    0.100000000000000000E+01
  13    0.629608939549241065E+01
  14    0.148440828294101550E+02
  15    0.000000000000000000E+00
  16    0.926235419347797517E+00
  17   -0.475550240720142625E+00
  18    0.250636438158673247E+01
  19    0.304203116328643697E+01
  20    0.182068162960227453E+01
  21    0.849602641466334796E+00
  22    0.388358416732285772E+00
  23    0.190556871522681803E+00
  24    0.963761135926927553E-01
  25    0.507127158084556412E-01
  26    0.266296641885959695E-01
  27    0.142551761031560736E-01
  28    0.777887689818013671E-02
  29    0.425606284476158763E-02
  30    0.234024913644215182E-02
  31    0.242398024257936662E+00
  32    0.553502635721543790E+00
  33    0.663151833621972608E+00
  34    0.653082764807348504E+00
  35    0.581932947668717726E+00
  36    0.478947104130907797E+00
  37    0.366484489944039815E+00
  38    0.257427590209177104E+00
  39    0.162881995530684359E+00
  40    0.963965264458868376E-01
  41    0.569494686191829164E-01
  42    0.346124240502704295E-01
  43    0.213597525957283790E-01

MAP Parameters
Dim No.        Parameter
   1    0.272687876477286384E+01
   2    0.264297521137174973E+01
   3    0.154552494358813952E+02
   4   -0.135616365751097590E+00
   5    0.341940088368465567E+01
   6    0.287668851180775498E+01
   7    0.169746324288324750E+02
   8   -0.213054959942232047E+01
   9    0.100000000000000000E+01
  10    0.536985397614461313E+01
  11    0.153196330701302976E+02
  12    0.100000000000000000E+01
  13    0.629608939549241065E+01
  14    0.148440828294101550E+02
  15    0.000000000000000000E+00
  16    0.926235419347797517E+00
  17   -0.475550240720142625E+00
  18    0.250636438158673247E+01
  19    0.304203116328643697E+01
  20    0.182068162960227453E+01
  21    0.849602641466334796E+00
  22    0.388358416732285772E+00
  23    0.190556871522681803E+00
  24    0.963761135926927553E-01
  25    0.507127158084556412E-01
  26    0.266296641885959695E-01
  27    0.142551761031560736E-01
  28    0.777887689818013671E-02
  29    0.425606284476158763E-02
  30    0.234024913644215182E-02
  31    0.242398024257936662E+00
  32    0.553502635721543790E+00
  33    0.663151833621972608E+00
  34    0.653082764807348504E+00
  35    0.581932947668717726E+00
  36    0.478947104130907797E+00
  37    0.366484489944039815E+00
  38    0.257427590209177104E+00
  39    0.162881995530684359E+00
  40    0.963965264458868376E-01
  41    0.569494686191829164E-01
  42    0.346124240502704295E-01
  43    0.213597525957283790E-01
