Nested Sampling Global Log-Evidence           :   -0.809852476001210597E+01  +/-    0.115221230499667232E+00
Nested Importance Sampling Global Log-Evidence:   -0.840642137277506407E+01  +/-    0.104559157855657545E+00

Dim No.       Mean        Sigma
   1    0.354373457652316892E+01    0.117528341826501581E+01
   2    0.204933487932807745E+01    0.778576589393726648E+00
   3    0.161382156656268343E+02    0.538421758508671133E+00
   4   -0.484736671041939182E+00    0.272888189111882173E+00
   5    0.999999999999999334E+00    0.258095682795178472E-07
   6    0.559306945585123660E+01    0.673024635381955116E+00
   7    0.156534789945849013E+02    0.364411481099021606E+00
   8    0.290467371782301731E+01    0.963365086407943316E+01
   9    0.348950356428419184E+01    0.364557787434384828E+00
  10    0.426525369652844685E+25    0.256815273114374722E+37
  11    0.126775236896705690E+01    0.337642992872280723E+00
  12    0.156859563891902403E+23    0.102152841139098334E+35

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.250041457978207449E+01
   2    0.324495793144960931E+01
   3    0.154818707592728586E+02
   4   -0.884165330086337242E-01
   5    0.100000000000000000E+01
   6    0.574537251123168424E+01
   7    0.153934542262642253E+02
   8    0.288793044403690136E+01
   9    0.376002017417120848E+01
  10    0.247839906468477578E+01
  11    0.131670049058631622E+01
  12    0.716353594042034802E+00

MAP Parameters
Dim No.        Parameter
   1    0.250041457978207449E+01
   2    0.324495793144960931E+01
   3    0.154818707592728586E+02
   4   -0.884165330086337242E-01
   5    0.100000000000000000E+01
   6    0.574537251123168424E+01
   7    0.153934542262642253E+02
   8    0.288793044403690136E+01
   9    0.376002017417120848E+01
  10    0.247839906468477578E+01
  11    0.131670049058631622E+01
  12    0.716353594042034802E+00
